"","fips","totalHouseholds","totalMarriedFamilyHouseholds","totalNonFamilyHouseholds","totalUnmarriedFamilyHouseholds","lowIncomeSingleParents","lowIncomeMarriedParents","lowIncomeSingleAdults","marriedAsPercentTotal","lowIncomeMarriedAsPercentTotal","lowIncomeMarriedAsPercentMarried","unmarriedAsPercentTotal","lowIncomeSingleParentsAsPercentTotal","lowIncomeSingleParentsAsPercentUnmarried","nonfamilyAsPercentTotal","lowIncomeSingleAdultAsPercentTotal","lowIncomeSingleAdultAsPercentNonfamily"
"1","41",1516456,739803,549488,227165,52956,57999,182065,0.487849960697838,0.0382464113696672,0.0783978978187436,0.149799928253771,0.0349208945066655,0.233116897409372,0.362350111048392,0.120059533544,0.331335716157587
"2","41001",7120,3792,2517,811,364,279,1218,0.532584269662921,0.039185393258427,0.0735759493670886,0.113904494382022,0.051123595505618,0.448828606658446,0.353511235955056,0.171067415730337,0.483909415971395
"3","41003",33384,15325,14686,3373,615,1047,6337,0.459052240594297,0.0313623292595255,0.0683197389885807,0.101036424634555,0.0184219985621855,0.182330269789505,0.439911334771148,0.189821471363527,0.431499387171456
"4","41005",146527,81180,44564,20783,3509,4409,11506,0.554027585359695,0.0300900175394296,0.0543114067504311,0.141837340558395,0.0239478048414285,0.168839917240052,0.30413507408191,0.0785247770035557,0.258190467642043
"5","41007",15749,7546,5871,2332,668,551,1717,0.479141532795733,0.0349863483395771,0.0730188179167771,0.148072893517049,0.0424153914534256,0.286449399656947,0.372785573687218,0.109022795098101,0.292454437063533
"6","41009",19069,10862,5344,2863,685,709,2019,0.569615606481724,0.0371807645917458,0.065273430307494,0.150138969007289,0.035922177355918,0.239259517988124,0.280245424510986,0.105878651214012,0.377806886227545
"7","41011",26072,12294,10173,3605,725,803,4434,0.471540349800552,0.0307993249463025,0.0653164145111436,0.138270942006751,0.0278076096962258,0.201109570041609,0.390188708192697,0.170067505369745,0.435859628428192
"8","41013",8880,4901,2839,1140,343,609,1018,0.551914414414414,0.0685810810810811,0.124260355029586,0.128378378378378,0.0386261261261261,0.300877192982456,0.319707207207207,0.11463963963964,0.35857696371962
"9","41015",10355,5066,4191,1098,234,307,1879,0.4892322549493,0.0296475132786094,0.0606000789577576,0.106035731530662,0.0225977788507967,0.213114754098361,0.404732013520039,0.181458232737808,0.448341684562157
"10","41017",64568,34757,21215,8596,2194,2887,6698,0.538300706232189,0.0447125511089084,0.083062404695457,0.133130962705984,0.033979680337009,0.255234993020009,0.328568331061826,0.103735596580349,0.315720009427292
"11","41019",43846,22478,14629,6739,1659,1765,5997,0.512657939150664,0.0402545272088674,0.078521220749177,0.153697030515897,0.0378369748665785,0.246178958302419,0.33364503033344,0.136774164119874,0.409939161938615
"12","41021",883,435,351,97,18,18,138,0.492638731596829,0.0203850509626274,0.0413793103448276,0.109852774631937,0.0203850509626274,0.185567010309278,0.397508493771234,0.156285390713477,0.393162393162393
"13","41023",3319,1772,1193,354,146,123,538,0.53389575173245,0.0370593552274782,0.0694130925507901,0.106658632118108,0.0439891533594456,0.412429378531073,0.359445616149443,0.162097017173848,0.450963956412406
"14","41025",3113,1760,955,398,85,197,467,0.565371024734982,0.0632830067459043,0.111931818181818,0.127850947638934,0.0273048506264054,0.21356783919598,0.306778027626084,0.150016061676839,0.489005235602094
"15","41027",8144,4535,2691,918,58,349,764,0.556851669941061,0.0428536345776031,0.0769570011025358,0.112721021611002,0.00712180746561886,0.0631808278867102,0.330427308447937,0.093811394891945,0.283909327387588
"16","41029",83140,40751,29142,13247,3314,3613,11130,0.490149146018764,0.043456819821987,0.0886604009717553,0.15933365407746,0.0398604763050277,0.250169849777308,0.350517199903777,0.133870579745008,0.381922997735228
"17","41031",7882,3705,2376,1801,551,392,756,0.470058360822126,0.0497335701598579,0.105802968960864,0.228495305759959,0.069906115199188,0.305941143808995,0.301446333417914,0.0959147424511545,0.318181818181818
"18","41033",34390,16877,12381,5132,1482,1542,5972,0.490753125908694,0.0448386158767083,0.0913669491023286,0.149229427159058,0.0430939226519337,0.288776305533905,0.360017446932248,0.173655132305903,0.482351990953881
"19","41035",27378,13327,9065,4986,1166,1401,4093,0.486777704726423,0.0511724742493973,0.105124934343813,0.182117028270874,0.0425889400248375,0.23385479342158,0.331105267002703,0.149499598217547,0.451516822945394
"20","41037",3566,1878,1418,270,58,163,684,0.526640493550196,0.0457094784071789,0.0867944621938232,0.0757150869321369,0.0162647223780146,0.214814814814815,0.397644419517667,0.191811553561413,0.482369534555712
"21","41039",144912,64192,58664,22056,5301,4700,23530,0.442972286629127,0.0324334768687203,0.0732178464606181,0.152202716131169,0.0365808214640609,0.240342763873776,0.404824997239704,0.162374406536381,0.40109777717169
"22","41041",20913,10146,7868,2899,611,598,2954,0.485152775785397,0.0285946540429398,0.0589394835403115,0.13862190981686,0.0292162769569168,0.210762331838565,0.376225314397743,0.141251852914455,0.375444839857651
"23","41043",44722,23866,13877,6979,1921,1827,5184,0.533652341129645,0.0408523769062206,0.0765524176652979,0.156052949331425,0.0429542507043513,0.275254334431867,0.310294709538929,0.115916103930951,0.373567774014556
"24","41045",10136,5235,3257,1644,604,790,1713,0.51647592738753,0.0779400157853197,0.15090735434575,0.162194159431728,0.0595895816890292,0.367396593673966,0.321329913180742,0.169001578531965,0.525944120356156
"25","41047",113285,57478,34979,20828,5605,6744,11737,0.507375204131174,0.0595312706889703,0.117331848707332,0.183854879286755,0.0494769828309132,0.26910889187632,0.308769916582072,0.103605949596151,0.335544183653049
"26","41049",3741,2180,930,631,227,227,266,0.582731889869019,0.0606789628441593,0.104128440366972,0.168671478214381,0.0606789628441593,0.359746434231379,0.2485966319166,0.0711039828922748,0.286021505376344
"27","41051",305939,120361,139833,45745,10655,9244,40072,0.393415027178621,0.0302151736130405,0.0768022864549148,0.149523270978855,0.0348272041158532,0.23292163077932,0.457061701842524,0.130980358829701,0.286570408987864
"28","41053",28239,15577,8704,3958,964,1340,3169,0.551613017458125,0.04745210524452,0.0860242665468319,0.14016077056553,0.034137186160983,0.24355735219808,0.308226211976345,0.112220687701406,0.364085477941176
"29","41055",827,406,343,78,37,17,140,0.49093107617896,0.0205562273276904,0.041871921182266,0.094316807738815,0.0447400241837969,0.474358974358974,0.414752116082225,0.169286577992745,0.408163265306122
"30","41057",10236,5247,3661,1328,247,396,1287,0.512602579132474,0.0386869871043376,0.0754716981132075,0.129738178976163,0.0241305197342712,0.185993975903614,0.357659241891364,0.125732708089097,0.351543294181917
"31","41059",26744,13235,8320,5189,1538,1152,3401,0.494877355668561,0.0430750822614418,0.0870419342652059,0.194024827998803,0.0575082261441819,0.296396222778955,0.311097816332635,0.127168710738857,0.408774038461538
"32","41061",10235,5465,3472,1298,439,498,1597,0.533952125061065,0.0486565705911089,0.0911253430924062,0.126819736199316,0.0428920371275037,0.338212634822804,0.339228138739619,0.156033219345384,0.459965437788018
"33","41063",2996,1504,1149,343,76,53,511,0.502002670226969,0.0176902536715621,0.0352393617021277,0.114485981308411,0.0253671562082777,0.221574344023324,0.383511348464619,0.170560747663551,0.44473455178416
"34","41065",9612,4980,3128,1504,346,413,1018,0.518102372034956,0.0429671244277986,0.0829317269076305,0.156471077819392,0.0359966708281315,0.230053191489362,0.325426550145651,0.105909280066583,0.325447570332481
"35","41067",201771,106740,66303,28728,5372,7029,14703,0.529015567152861,0.0348365225924439,0.0658516020236088,0.142379231901512,0.0266242423341313,0.186995265942634,0.328605200945626,0.0728697384658846,0.221754671734311
"36","41069",625,359,215,51,13,18,94,0.5744,0.0288,0.0501392757660167,0.0816,0.0208,0.254901960784314,0.344,0.1504,0.437209302325581
"37","41071",34138,19591,9184,5363,1126,1789,3324,0.573876618431074,0.0524049446364755,0.0913174416824052,0.157097662428965,0.0329837717499561,0.209957113555846,0.269025719139961,0.0973695002636358,0.361933797909408
