"","fips","HD01_VD01","HD01_VD03","HD01_VD04","HD01_VD05","HD01_VD06","HD01_VD07","HD01_VD08","HD01_VD09","HD01_VD10","HD01_VD11","HD01_VD12","HD01_VD13","HD01_VD14","HD01_VD15","HD01_VD16","HD01_VD17","HD01_VD18","HD01_VD19","HD01_VD20","HD01_VD21","HD01_VD22","HD01_VD23"
"1","Id2","Estimate; Total:","Estimate; Total: - No workers","Estimate; Total: - 1 worker","Estimate; Total: - 2 workers","Estimate; Total: - 3 or more workers","Estimate; Total: - 1-person household:","Estimate; Total: - 1-person household: - No workers","Estimate; Total: - 1-person household: - 1 worker","Estimate; Total: - 2-person household:","Estimate; Total: - 2-person household: - No workers","Estimate; Total: - 2-person household: - 1 worker","Estimate; Total: - 2-person household: - 2 workers","Estimate; Total: - 3-person household:","Estimate; Total: - 3-person household: - No workers","Estimate; Total: - 3-person household: - 1 worker","Estimate; Total: - 3-person household: - 2 workers","Estimate; Total: - 3-person household: - 3 workers","Estimate; Total: - 4-or-more-person household:","Estimate; Total: - 4-or-more-person household: - No workers","Estimate; Total: - 4-or-more-person household: - 1 worker","Estimate; Total: - 4-or-more-person household: - 2 workers","Estimate; Total: - 4-or-more-person household: - 3 or more workers"
"2","41001","7120","2899","2264","1800","157","2174","1439","735","3057","1277","939","841","846","71","280","400","95","1043","112","310","559","62"
"3","41003","33384","10407","12378","8879","1720","9765","5214","4551","12915","4003","4262","4650","4834","667","1554","1901","712","5870","523","2011","2328","1008"
"4","41005","146527","39379","55020","43410","8718","35444","18285","17159","53711","16635","17752","19324","22992","2549","7929","9420","3094","34380","1910","12180","14666","5624"
"5","41007","15749","5168","5645","4231","705","4834","2577","2257","6042","2139","1796","2107","1901","232","707","767","195","2972","220","885","1357","510"
"6","41009","19069","6201","6941","5187","740","4374","2604","1770","7578","2681","2433","2464","3217","463","1316","1110","328","3900","453","1422","1613","412"
"7","41011","26072","11153","9062","5145","712","8221","5404","2817","10770","4698","3800","2272","3467","725","1084","1450","208","3614","326","1361","1423","504"
"8","41013","8880","3640","3141","1957","142","2317","1654","663","3641","1539","1165","937","1302","324","564","366","48","1620","123","749","654","94"
"9","41015","10355","5189","3102","1800","264","3440","2336","1104","4712","2483","1432","797","1024","193","255","428","148","1179","177","311","575","116"
"10","41017","64568","21804","23042","17268","2454","15986","9196","6790","27043","10262","8457","8324","9051","1295","3418","3505","833","12488","1051","4377","5439","1621"
"11","41019","43846","18352","15406","8701","1387","11502","7717","3785","19198","8374","6616","4208","6055","1260","2345","2129","321","7091","1001","2660","2364","1066"
"12","41021","883","265","394","196","28","322","124","198","306","112","79","115","114","14","57","25","18","141","15","60","56","10"
"13","41023","3319","1451","1077","729","62","1012","634","378","1544","749","413","382","317","41","143","111","22","446","27","143","236","40"
"14","41025","3113","1059","1254","750","50","864","445","419","1202","453","396","353","481","32","270","162","17","566","129","169","235","33"
"15","41027","8144","1930","2740","2849","625","1983","944","1039","2827","838","773","1216","1518","101","471","683","263","1816","47","457","950","362"
"16","41029","83140","30143","29533","20302","3162","23642","14286","9356","32244","12799","10241","9204","11643","1510","4421","4884","828","15611","1548","5515","6214","2334"
"17","41031","7882","2576","3046","1997","263","1823","1007","816","3157","1148","1165","844","1284","252","490","514","28","1618","169","575","639","235"
"18","41033","34390","16080","10799","6533","978","10399","7526","2873","14015","6873","4250","2892","4236","897","1516","1577","246","5740","784","2160","2064","732"
"19","41035","27378","10056","10303","6218","801","7284","4454","2830","10666","4350","3480","2836","4443","794","1938","1394","317","4985","458","2055","1988","484"
"20","41037","3566","1320","1471","638","137","1177","626","551","1447","644","524","279","317","22","128","131","36","625","28","268","228","101"
"21","41039","144912","50230","52549","36028","6105","41732","24020","17712","56277","20548","18337","17392","21840","3386","7748","8315","2391","25063","2276","8752","10321","3714"
"22","41041","20913","8100","7301","4582","930","6508","3821","2687","8498","3572","2555","2371","2431","443","1009","768","211","3476","264","1050","1443","719"
"23","41043","44722","15067","16045","11645","1965","10729","6566","4163","17427","6694","5437","5296","7135","957","2722","2775","681","9431","850","3723","3574","1284"
"24","41045","10136","3458","3888","2263","527","2842","1774","1068","3324","1238","1217","869","1488","254","540","541","153","2482","192","1063","853","374"
"25","41047","113285","33245","43351","29925","6764","28957","15479","13478","37497","12542","13399","11556","17544","2716","6515","6541","1772","29287","2508","9959","11828","4992"
"26","41049","3741","877","1603","1054","207","791","406","385","1337","322","570","445","426","57","183","133","53","1187","92","465","476","154"
"27","41051","305939","77849","124160","88259","15671","101448","46060","55388","104587","23285","34709","46593","44706","4649","15584","18679","5794","55198","3855","18479","22987","9877"
"28","41053","28239","9029","9889","7933","1388","6455","3761","2694","10879","3961","3278","3640","4106","693","1289","1683","441","6799","614","2628","2610","947"
"29","41055","827","349","252","210","16","270","168","102","335","151","80","104","85","20","33","28","4","137","10","37","78","12"
"30","41057","10236","3921","3552","2400","363","3008","1824","1184","4313","1804","1434","1075","1161","181","359","482","139","1754","112","575","843","224"
"31","41059","26744","7635","9679","7825","1605","6934","3788","3146","8554","2786","2860","2908","4172","393","1571","1681","527","7084","668","2102","3236","1078"
"32","41061","10235","3486","3724","2633","392","2635","1331","1304","4169","1687","1198","1284","1379","246","491","484","158","2052","222","731","865","234"
"33","41063","2996","1211","1040","696","49","1057","637","420","1311","482","431","398","272","62","100","99","11","356","30","89","199","38"
"34","41065","9612","3208","3507","2441","456","2603","1543","1060","3775","1318","1260","1197","1375","223","478","520","154","1859","124","709","724","302"
"35","41067","201771","42497","84722","63103","11449","50998","22247","28751","68051","15781","25029","27241","32740","2610","11910","14335","3885","49982","1859","19032","21527","7564"
"36","41069","625","263","202","140","20","205","124","81","318","128","100","90","44","8","7","21","8","58","3","14","29","12"
"37","41071","34138","9831","11684","10304","2319","7433","4353","3080","12696","4316","3878","4502","4871","692","1699","1920","560","9138","470","3027","3882","1759"
