"","fips","HC01_EST_VC02","HC02_EST_VC02","HC03_EST_VC02","HC04_EST_VC02","HC05_EST_VC02","HC01_EST_VC03","HC02_EST_VC03","HC03_EST_VC03","HC04_EST_VC03","HC05_EST_VC03","HC01_EST_VC06","HC02_EST_VC06","HC03_EST_VC06","HC04_EST_VC06","HC05_EST_VC06","HC01_EST_VC07","HC02_EST_VC07","HC03_EST_VC07","HC04_EST_VC07","HC05_EST_VC07","HC01_EST_VC10","HC02_EST_VC10","HC03_EST_VC10","HC04_EST_VC10","HC05_EST_VC10","HC01_EST_VC11","HC02_EST_VC11","HC03_EST_VC11","HC04_EST_VC11","HC05_EST_VC11","HC01_EST_VC12","HC02_EST_VC12","HC03_EST_VC12","HC04_EST_VC12","HC05_EST_VC12","HC01_EST_VC13","HC02_EST_VC13","HC03_EST_VC13","HC04_EST_VC13","HC05_EST_VC13","HC01_EST_VC15","HC02_EST_VC15","HC03_EST_VC15","HC04_EST_VC15","HC05_EST_VC15","HC01_EST_VC17","HC02_EST_VC17","HC03_EST_VC17","HC04_EST_VC17","HC05_EST_VC17","HC01_EST_VC18","HC02_EST_VC18","HC03_EST_VC18","HC04_EST_VC18","HC05_EST_VC18","HC01_EST_VC19","HC02_EST_VC19","HC03_EST_VC19","HC04_EST_VC19","HC05_EST_VC19","HC01_EST_VC20","HC02_EST_VC20","HC03_EST_VC20","HC04_EST_VC20","HC05_EST_VC20","HC01_EST_VC23","HC02_EST_VC23","HC03_EST_VC23","HC04_EST_VC23","HC05_EST_VC23","HC01_EST_VC24","HC02_EST_VC24","HC03_EST_VC24","HC04_EST_VC24","HC05_EST_VC24","HC01_EST_VC27","HC02_EST_VC27","HC03_EST_VC27","HC04_EST_VC27","HC05_EST_VC27","HC01_EST_VC28","HC02_EST_VC28","HC03_EST_VC28","HC04_EST_VC28","HC05_EST_VC28","HC01_EST_VC29","HC02_EST_VC29","HC03_EST_VC29","HC04_EST_VC29","HC05_EST_VC29","HC01_EST_VC32","HC02_EST_VC32","HC03_EST_VC32","HC04_EST_VC32","HC05_EST_VC32","HC01_EST_VC33","HC02_EST_VC33","HC03_EST_VC33","HC04_EST_VC33","HC05_EST_VC33"
"1","Id2","Total; Estimate; Total households","Married-couple family household; Estimate; Total households","Male householder, no wife present, family household; Estimate; Total households","Female householder, no husband present, family household; Estimate; Total households","Nonfamily household; Estimate; Total households","Total; Estimate; Average household size","Married-couple family household; Estimate; Average household size","Male householder, no wife present, family household; Estimate; Average household size","Female householder, no husband present, family household; Estimate; Average household size","Nonfamily household; Estimate; Average household size","Total; Estimate; FAMILIES - Total families","Married-couple family household; Estimate; FAMILIES - Total families","Male householder, no wife present, family household; Estimate; FAMILIES - Total families","Female householder, no husband present, family household; Estimate; FAMILIES - Total families","Nonfamily household; Estimate; FAMILIES - Total families","Total; Estimate; FAMILIES - Average family size","Married-couple family household; Estimate; FAMILIES - Average family size","Male householder, no wife present, family household; Estimate; FAMILIES - Average family size","Female householder, no husband present, family household; Estimate; FAMILIES - Average family size","Nonfamily household; Estimate; FAMILIES - Average family size","Total; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years","Married-couple family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years","Male householder, no wife present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years","Female householder, no husband present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years","Nonfamily household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years","Total; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years only","Married-couple family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years only","Male householder, no wife present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years only","Female householder, no husband present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years only","Nonfamily household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years only","Total; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years and 6 to 17 years","Married-couple family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years and 6 to 17 years","Male householder, no wife present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years and 6 to 17 years","Female householder, no husband present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years and 6 to 17 years","Nonfamily household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - Under 6 years and 6 to 17 years","Total; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - 6 to 17 years only","Married-couple family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - 6 to 17 years only","Male householder, no wife present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - 6 to 17 years only","Female householder, no husband present, family household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - 6 to 17 years only","Nonfamily household; Estimate; AGE OF OWN CHILDREN - Households with own children under 18 years - 6 to 17 years only","Total; Estimate; Total households","Married-couple family household; Estimate; Total households","Male householder, no wife present, family household; Estimate; Total households","Female householder, no husband present, family household; Estimate; Total households","Nonfamily household; Estimate; Total households","Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Married-couple family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Male householder, no wife present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Female householder, no husband present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Nonfamily household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Married-couple family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Male householder, no wife present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Female householder, no husband present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Nonfamily household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Married-couple family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Male householder, no wife present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Female householder, no husband present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Nonfamily household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Married-couple family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Male householder, no wife present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Female householder, no husband present, family household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Nonfamily household; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Total; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Same sex","Married-couple family household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Same sex","Male householder, no wife present, family household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Same sex","Female householder, no husband present, family household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Same sex","Nonfamily household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Same sex","Total; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Opposite sex","Married-couple family household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Opposite sex","Male householder, no wife present, family household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Opposite sex","Female householder, no husband present, family household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Opposite sex","Nonfamily household; Estimate; UNMARRIED-PARTNER HOUSEHOLDS - Opposite sex","Total; Estimate; UNITS IN STRUCTURE - 1-unit structures","Married-couple family household; Estimate; UNITS IN STRUCTURE - 1-unit structures","Male householder, no wife present, family household; Estimate; UNITS IN STRUCTURE - 1-unit structures","Female householder, no husband present, family household; Estimate; UNITS IN STRUCTURE - 1-unit structures","Nonfamily household; Estimate; UNITS IN STRUCTURE - 1-unit structures","Total; Estimate; UNITS IN STRUCTURE - 2-or-more-unit structures","Married-couple family household; Estimate; UNITS IN STRUCTURE - 2-or-more-unit structures","Male householder, no wife present, family household; Estimate; UNITS IN STRUCTURE - 2-or-more-unit structures","Female householder, no husband present, family household; Estimate; UNITS IN STRUCTURE - 2-or-more-unit structures","Nonfamily household; Estimate; UNITS IN STRUCTURE - 2-or-more-unit structures","Total; Estimate; UNITS IN STRUCTURE - Mobile homes and all other types of units","Married-couple family household; Estimate; UNITS IN STRUCTURE - Mobile homes and all other types of units","Male householder, no wife present, family household; Estimate; UNITS IN STRUCTURE - Mobile homes and all other types of units","Female householder, no husband present, family household; Estimate; UNITS IN STRUCTURE - Mobile homes and all other types of units","Nonfamily household; Estimate; UNITS IN STRUCTURE - Mobile homes and all other types of units","Total; Estimate; HOUSING TENURE - Owner-occupied housing units","Married-couple family household; Estimate; HOUSING TENURE - Owner-occupied housing units","Male householder, no wife present, family household; Estimate; HOUSING TENURE - Owner-occupied housing units","Female householder, no husband present, family household; Estimate; HOUSING TENURE - Owner-occupied housing units","Nonfamily household; Estimate; HOUSING TENURE - Owner-occupied housing units","Total; Estimate; HOUSING TENURE - Renter-occupied housing units","Married-couple family household; Estimate; HOUSING TENURE - Renter-occupied housing units","Male householder, no wife present, family household; Estimate; HOUSING TENURE - Renter-occupied housing units","Female householder, no husband present, family household; Estimate; HOUSING TENURE - Renter-occupied housing units","Nonfamily household; Estimate; HOUSING TENURE - Renter-occupied housing units"
"2","41001","7120","3792","196","615","2517","2.18","2.70","3.35","2.70","1.19","4603","3792","196","615","(X)","2.68","2.69","2.82","2.54","(X)","1630","1096","103","431","(X)","24.0","23.7","4.9","29.2","(X)","18.4","19.4","31.1","12.8","(X)","57.6","56.8","64.1","58.0","(X)","7120","3792","196","615","2517","24.3","30.4","52.6","71.9","1.3","48.0","45.9","40.3","19.2","58.7","30.5","(X)","(X)","(X)","86.4","13.7","(X)","(X)","(X)","38.8","0.0","(X)","(X)","(X)","(X)","4.0","(X)","(X)","(X)","(X)","72.9","81.4","73.0","65.7","62.1","12.1","2.7","11.7","25.5","23.1","14.9","15.9","15.3","8.8","14.8","67.0","78.8","66.8","28.8","58.4","33.0","21.2","33.2","71.2","41.6"
"3","41003","33384","15325","846","2527","14686","2.42","3.03","3.15","3.14","1.61","18698","15325","846","2527","(X)","2.96","3.01","2.65","2.81","(X)","7436","5595","421","1420","(X)","22.2","23.1","24.0","18.0","(X)","21.2","23.1","4.3","18.5","(X)","56.6","53.8","71.7","63.5","(X)","33384","15325","846","2527","14686","23.7","38.0","55.0","61.4","0.4","32.1","37.3","21.7","18.9","29.4","29.3","(X)","(X)","(X)","66.5","8.6","(X)","(X)","(X)","19.5","0.9","(X)","(X)","(X)","(X)","6.1","(X)","(X)","(X)","(X)","66.6","87.6","40.9","59.6","47.4","26.5","7.2","41.6","29.9","45.3","6.8","5.2","17.5","10.4","7.3","57.9","82.6","49.1","40.8","35.7","42.1","17.4","50.9","59.2","64.3"
"4","41005","146527","81180","6457","14326","44564","2.58","3.14","3.12","3.13","1.29","101963","81180","6457","14326","(X)","3.06","3.12","2.81","2.88","(X)","44178","32396","3490","8292","(X)","19.5","20.0","14.6","19.9","(X)","18.3","20.3","16.3","11.5","(X)","62.1","59.7","69.1","68.6","(X)","146527","81180","6457","14326","44564","32.9","42.1","58.2","67.9","1.2","37.4","36.7","21.7","22.3","45.8","24.2","(X)","(X)","(X)","79.5","9.5","(X)","(X)","(X)","31.2","0.5","(X)","(X)","(X)","(X)","5.3","(X)","(X)","(X)","(X)","73.9","87.4","68.9","61.9","53.8","19.6","7.5","22.0","31.3","37.6","6.5","5.1","9.1","6.8","8.6","68.8","83.2","53.0","46.7","52.0","31.2","16.8","47.0","53.3","48.0"
"5","41007","15749","7546","634","1698","5871","2.30","2.87","3.43","3.18","1.19","9878","7546","634","1698","(X)","2.84","2.85","2.62","2.88","(X)","3788","2387","445","956","(X)","25.5","25.3","35.3","21.4","(X)","18.8","17.3","13.9","24.6","(X)","55.7","57.4","50.8","54.0","(X)","15749","7546","634","1698","5871","27.3","35.5","76.0","64.9","0.6","42.5","42.4","22.7","32.6","47.6","30.7","(X)","(X)","(X)","82.3","12.0","(X)","(X)","(X)","32.1","0.3","(X)","(X)","(X)","(X)","6.6","(X)","(X)","(X)","(X)","71.9","84.1","67.5","49.8","63.0","21.0","8.4","19.2","42.7","31.1","7.1","7.5","13.2","7.5","5.9","62.7","78.5","57.7","37.3","50.2","37.3","21.5","42.3","62.7","49.8"
"6","41009","19069","10862","859","2004","5344","2.57","3.03","3.37","3.27","1.22","13725","10862","859","2004","(X)","3.00","3.01","2.93","2.95","(X)","5453","3656","559","1238","(X)","19.6","19.1","14.1","23.5","(X)","18.4","19.8","14.0","16.5","(X)","62.0","61.1","71.9","60.0","(X)","19069","10862","859","2004","5344","31.3","36.6","69.6","68.9","0.5","38.3","37.6","23.5","24.0","47.4","22.9","(X)","(X)","(X)","81.8","8.9","(X)","(X)","(X)","31.9","0.5","(X)","(X)","(X)","(X)","6.4","(X)","(X)","(X)","(X)","75.6","84.6","82.2","62.9","60.9","11.2","4.3","8.7","21.4","22.0","13.2","11.1","9.1","15.7","17.1","73.9","86.0","62.0","46.6","61.3","26.1","14.0","38.0","53.4","38.7"
"7","41011","26072","12294","1059","2546","10173","2.36","2.92","3.57","3.38","1.30","15899","12294","1059","2546","(X)","2.95","2.88","3.14","3.17","(X)","5005","3391","399","1215","(X)","21.0","20.9","11.8","24.3","(X)","18.4","17.4","25.8","18.6","(X)","60.7","61.7","62.4","57.1","(X)","26072","12294","1059","2546","10173","23.3","30.6","46.7","63.5","1.8","49.8","50.2","41.0","33.5","54.4","31.5","(X)","(X)","(X)","80.8","14.7","(X)","(X)","(X)","37.6","0.3","(X)","(X)","(X)","(X)","5.7","(X)","(X)","(X)","(X)","74.3","84.5","73.3","65.6","64.4","11.1","2.4","13.1","18.5","19.5","14.6","13.1","13.6","16.0","16.1","66.1","78.7","53.1","46.0","57.3","33.9","21.3","46.9","54.0","42.7"
"8","41013","8880","4901","420","720","2839","2.33","2.83","3.09","2.93","1.21","6041","4901","420","720","(X)","2.79","2.81","2.63","2.75","(X)","2109","1512","205","392","(X)","20.0","16.1","41.0","24.0","(X)","19.7","25.3","8.8","3.8","(X)","60.4","58.7","50.2","72.2","(X)","8880","4901","420","720","2839","27.2","34.0","52.6","71.3","0.7","46.8","44.5","20.0","23.2","60.7","26.1","(X)","(X)","(X)","81.6","12.3","(X)","(X)","(X)","38.5","0.0","(X)","(X)","(X)","(X)","6.3","(X)","(X)","(X)","(X)","71.3","81.0","89.8","59.2","54.7","7.6","3.3","0.0","13.8","14.4","21.2","15.7","10.2","27.1","30.9","70.5","81.4","44.8","50.8","60.5","29.5","18.6","55.2","49.2","39.5"
"9","41015","10355","5066","434","664","4191","2.13","2.65","3.50","3.16","1.21","6164","5066","434","664","(X)","2.66","2.62","2.97","2.70","(X)","1519","970","277","272","(X)","22.9","26.7","3.2","29.4","(X)","22.1","19.6","45.8","7.0","(X)","55.0","53.7","50.9","63.6","(X)","10355","5066","434","664","4191","17.5","21.1","84.3","56.6","0.0","57.1","58.0","16.1","47.6","61.8","33.2","(X)","(X)","(X)","82.1","17.5","(X)","(X)","(X)","43.3","0.2","(X)","(X)","(X)","(X)","6.0","(X)","(X)","(X)","(X)","62.3","72.4","62.4","59.9","50.4","11.0","3.7","19.6","13.6","18.5","26.7","23.9","18.0","26.5","31.1","67.8","78.3","54.4","75.6","55.2","32.2","21.7","45.6","24.4","44.8"
"10","41017","64568","34757","2870","5726","21215","2.47","2.97","3.09","3.22","1.36","43353","34757","2870","5726","(X)","2.93","2.94","2.66","2.98","(X)","17975","12741","1875","3359","(X)","23.0","20.7","35.7","24.6","(X)","19.7","21.9","16.9","13.1","(X)","57.3","57.4","47.4","62.3","(X)","64568","34757","2870","5726","21215","30.3","38.4","69.9","69.3","1.2","38.5","39.2","18.5","22.9","44.2","24.8","(X)","(X)","(X)","75.4","10.0","(X)","(X)","(X)","30.4","0.5","(X)","(X)","(X)","(X)","6.3","(X)","(X)","(X)","(X)","77.3","87.0","60.3","67.0","66.5","13.8","5.0","25.5","21.5","24.5","8.9","8.0","14.2","11.5","9.0","65.5","79.8","35.6","39.9","53.0","34.5","20.2","64.4","60.1","47.0"
